                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3192,                 6.6668,                 3.8477,                      0,                      0,                      0,                      0,                 6.2231,                 4.4031,                 3.1695,             0.00065537,             0.00065537,             0.00065537
                      2,                 4.4748,                 4.0518,                 2.7248,                0.00678,                0.25676,                0.01598,                0.00358,                 4.1576,                 3.7562,                 2.4242,              0.0012784,              0.0012784,              0.0012784
                      3,                 3.2982,                 2.8002,                  1.926,                0.14551,                0.37399,                0.10446,                0.03001,                 2.7229,                 2.7051,                 1.7308,              0.0018574,              0.0018574,              0.0018574
                      4,                 2.9072,                 2.4146,                 1.6765,                0.24909,                0.31039,                 0.2011,                0.06484,                 2.4823,                 2.5415,                 1.5657,               0.001802,               0.001802,               0.001802
                      5,                  2.704,                 2.2192,                 1.5911,                0.28458,                0.34267,                0.23699,                0.07949,                 2.4272,                 2.1774,                 1.5449,               0.001802,               0.001802,               0.001802
                      6,                 2.5505,                 2.0425,                 1.5016,                 0.4367,                0.43822,                0.39479,                0.13576,                 2.3456,                 1.9119,                 1.4965,               0.001736,               0.001736,               0.001736
                      7,                 2.4802,                 1.9364,                  1.459,                0.40667,                0.46559,                0.38145,                0.14421,                 2.1759,                 1.8166,                 1.4265,                0.00167,                0.00167,                0.00167
                      8,                 2.4008,                 1.8454,                 1.4184,                0.45074,                0.48837,                0.45785,                0.17891,                 2.1184,                  1.719,                  1.384,               0.001604,               0.001604,               0.001604
                      9,                 2.3594,                 1.7858,                 1.4085,                0.57754,                0.53251,                0.54954,                 0.2157,                 2.0685,                 1.5653,                 1.3527,               0.001538,               0.001538,               0.001538
                     10,                 2.2811,                 1.6993,                 1.3676,                0.48632,                0.49929,                0.46863,                0.17819,                 2.1479,                 1.7151,                 1.3968,               0.001472,               0.001472,               0.001472
                     11,                 2.2468,                 1.6457,                 1.3671,                0.58436,                0.59655,                 0.5954,                0.23663,                 2.0238,                 1.5106,                 1.3227,               0.001406,               0.001406,               0.001406
                     12,                 2.2336,                 1.6177,                 1.3585,                0.59961,                0.59706,                0.60365,                0.23611,                 2.0506,                  1.436,                  1.337,                0.00134,                0.00134,                0.00134
                     13,                 2.1879,                 1.5807,                 1.3359,                0.61833,                0.56431,                0.61494,                0.23453,                 2.0388,                 1.4884,                 1.3222,               0.001274,               0.001274,               0.001274
                     14,                 2.1852,                 1.5432,                 1.3232,                0.56249,                0.56478,                0.57508,                0.21217,                 2.1036,                 1.5033,                 1.3358,               0.001208,               0.001208,               0.001208
                     15,                 2.1395,                 1.5139,                  1.311,                0.62243,                0.63374,                0.65556,                0.27927,                 1.9338,                 1.3457,                 1.2764,               0.001142,               0.001142,               0.001142
                     16,                  2.111,                 1.4894,                 1.2926,                0.63953,                0.62364,                 0.6536,                0.27382,                  1.988,                 1.3432,                 1.2957,               0.001076,               0.001076,               0.001076
                     17,                 2.1154,                 1.4759,                 1.2984,                0.63138,                0.63246,                0.65719,                0.27613,                 1.9476,                 1.3463,                 1.2753,                0.00101,                0.00101,                0.00101
                     18,                 2.0957,                 1.4374,                 1.2918,                0.62194,                0.65591,                0.66543,                0.29343,                 1.8851,                   1.32,                 1.2563,               0.000944,               0.000944,               0.000944
                     19,                 2.0791,                  1.399,                 1.2842,                0.68218,                0.67062,                0.71914,                0.31246,                 1.9087,                 1.2689,                 1.2658,               0.000878,               0.000878,               0.000878
                     20,                 2.0594,                 1.3969,                 1.2701,                0.65211,                0.67442,                0.71543,                0.31091,                 1.9089,                 1.2987,                 1.2591,               0.000812,               0.000812,               0.000812
                     21,                  2.001,                 1.3875,                 1.3078,                0.63955,                0.68294,                0.69859,                0.30991,                 1.8814,                 1.2667,                 1.2496,               0.000746,               0.000746,               0.000746
                     22,                 1.9926,                 1.3567,                 1.3171,                0.67548,                0.68818,                0.72606,                0.31124,                 1.9127,                 1.2464,                 1.2599,                0.00068,                0.00068,                0.00068
                     23,                 2.0034,                 1.3406,                 1.2912,                0.66792,                0.67299,                0.72126,                0.31538,                 1.8701,                 1.2408,                 1.2431,               0.000614,               0.000614,               0.000614
                     24,                  1.986,                 1.3244,                 1.2987,                  0.707,                0.67205,                0.73512,                0.31875,                 1.8962,                 1.2027,                 1.2431,               0.000548,               0.000548,               0.000548
                     25,                 1.9556,                 1.3114,                 1.2911,                0.68899,                0.70384,                0.74516,                0.33104,                 1.8592,                 1.1827,                 1.2407,               0.000482,               0.000482,               0.000482
                     26,                 1.9481,                 1.2957,                 1.2921,                0.68421,                 0.6991,                0.73733,                0.33149,                 1.8354,                    1.2,                 1.2289,               0.000416,               0.000416,               0.000416
                     27,                 1.9401,                 1.2759,                 1.2894,                0.70244,                0.69578,                0.75185,                0.33651,                 1.8543,                 1.1808,                 1.2307,                0.00035,                0.00035,                0.00035
                     28,                 1.9358,                 1.2627,                 1.2881,                0.70924,                0.71523,                0.76397,                0.35456,                 1.8155,                 1.1657,                 1.2203,               0.000284,               0.000284,               0.000284
                     29,                 1.9192,                 1.2476,                 1.2778,                0.71316,                0.70717,                0.76455,                0.34657,                 1.8341,                 1.1436,                 1.2249,               0.000218,               0.000218,               0.000218
                     30,                 1.9209,                 1.2418,                 1.2757,                0.72039,                0.69942,                 0.7665,                 0.3473,                 1.8293,                 1.1514,                 1.2226,               0.000152,               0.000152,               0.000152
